layer,head,program_idx,best_program,best_iou
18,0,410,prog_L20H4,0.6918394438647973
18,1,396,prog_L20H2,0.8876735988772749
18,2,396,prog_L20H2,0.865214998276492
18,3,332,prog_L19H2,0.6396012284520238
18,4,396,prog_L20H2,0.8855027212819182
18,5,182,prog_L14H29,0.8992684661015822
18,6,396,prog_L20H2,0.8844112242133315
18,7,182,prog_L14H29,0.8950309953098221
18,8,105,prog_L12H17,0.6559382319005602
18,9,396,prog_L20H2,0.8343672352383849
18,10,396,prog_L20H2,0.7853894967641977
18,11,332,prog_L19H2,0.578459967259801
18,12,396,prog_L20H2,0.7607862592721606
18,13,332,prog_L19H2,0.6804919408466447
18,14,215,prog_L15H3,0.7264142361541424
18,15,396,prog_L20H2,0.6671948043139395
18,16,201,prog_L15H17,0.5693152038487905
18,17,410,prog_L20H4,0.7636091548653163
18,18,396,prog_L20H2,0.8247932887680994
18,19,396,prog_L20H2,0.8548147449348497
18,20,234,prog_L16H18,0.6976282644208659
18,21,182,prog_L14H29,0.9064715670062276
18,22,396,prog_L20H2,0.8438658891610317
18,23,396,prog_L20H2,0.9074435417330352
18,24,542,prog_L4H8,0.6952257561853172
18,25,385,prog_L20H1,0.609373956950516
18,26,461,prog_L2H20,0.6000863599630626
18,27,410,prog_L20H4,0.7501564906486459
18,28,542,prog_L4H8,0.6230644592188177
18,29,513,prog_L4H1,0.6826060901727599
18,30,396,prog_L20H2,0.90145170871169
18,31,542,prog_L4H8,0.692089093410239
19,0,311,prog_L18H3,0.7011744588214512
19,1,489,prog_L3H17,0.6355488405786074
19,2,332,prog_L19H2,0.6221739230792508
19,3,38,prog_L10H14,0.6072181341714649
19,4,568,prog_L5H30,0.5942670319470568
19,5,396,prog_L20H2,0.7760168695483032
19,6,396,prog_L20H2,0.8819197448326245
19,7,234,prog_L16H18,0.6145452914006746
19,8,396,prog_L20H2,0.9035581867357614
19,9,396,prog_L20H2,0.9131692684995556
19,10,513,prog_L4H1,0.5913331502556336
19,11,396,prog_L20H2,0.9117482835729565
19,12,396,prog_L20H2,0.9213906540886796
19,13,396,prog_L20H2,0.861076491751356
19,14,396,prog_L20H2,0.7672075045431891
19,15,396,prog_L20H2,0.8992862372279843
19,16,396,prog_L20H2,0.871647206242115
19,17,396,prog_L20H2,0.8966808937809743
19,18,578,prog_L6H10,0.6655364968892961
19,19,215,prog_L15H3,0.6625448030511418
19,20,396,prog_L20H2,0.8217743563470705
19,21,542,prog_L4H8,0.5814999197321796
19,22,489,prog_L3H17,0.6891400076536001
19,23,396,prog_L20H2,0.8622203756031412
19,24,481,prog_L3H1,0.7809907741738089
19,25,396,prog_L20H2,0.8670499573918156
19,26,235,prog_L16H19,0.7593750562179871
19,27,125,prog_L12H7,0.8360769670476091
19,28,541,prog_L4H7,0.6192103193519888
19,29,464,prog_L2H23,0.6982281986969028
19,30,50,prog_L10H25,0.7041830530234818
19,31,199,prog_L15H15,0.6876616368839248
20,0,542,prog_L4H8,0.6045431859308422
20,1,396,prog_L20H2,0.7205181373707601
20,2,235,prog_L16H19,0.7039839440729019
20,3,351,prog_L19H9,0.5710812554051999
20,4,600,prog_L6H30,0.5928077168114498
20,5,235,prog_L16H19,0.7578663457830376
20,6,600,prog_L6H30,0.5305617273601233
20,7,311,prog_L18H3,0.7462981527734337
20,8,396,prog_L20H2,0.9117843935140086
20,9,583,prog_L6H15,0.7396480826283212
20,10,396,prog_L20H2,0.9118089076901382
20,11,578,prog_L6H10,0.6191948971196997
20,12,396,prog_L20H2,0.864028042041032
20,13,396,prog_L20H2,0.9056221019092474
20,14,600,prog_L6H30,0.6499340577427399
20,15,578,prog_L6H10,0.6757657061727501
20,16,396,prog_L20H2,0.9094283945769672
20,17,235,prog_L16H19,0.8269659944407106
20,18,406,prog_L20H29,0.6384432373116644
20,19,568,prog_L5H30,0.6142191392147525
20,20,491,prog_L3H19,0.6578266259072826
20,21,396,prog_L20H2,0.7855407675158904
20,22,501,prog_L3H28,0.6460970369193111
20,23,542,prog_L4H8,0.6839638770650717
20,24,311,prog_L18H3,0.6600225210051689
20,25,396,prog_L20H2,0.7618902371313934
20,26,396,prog_L20H2,0.8583484195881969
20,27,600,prog_L6H30,0.5600000050628842
20,28,600,prog_L6H30,0.608448066412914
20,29,182,prog_L14H29,0.90992739616943
20,30,199,prog_L15H15,0.6429455799101085
20,31,513,prog_L4H1,0.6624554729548764
21,0,583,prog_L6H15,0.7650529563986964
21,1,396,prog_L20H2,0.9012011936738054
21,2,600,prog_L6H30,0.6407581586738754
21,3,501,prog_L3H28,0.7455535205962835
21,4,583,prog_L6H15,0.6340921178482247
21,5,277,prog_L17H28,0.5970066403625329
21,6,396,prog_L20H2,0.907814469618056
21,7,600,prog_L6H30,0.6641082836139061
21,8,385,prog_L20H1,0.6980471364812338
21,9,481,prog_L3H1,0.6893754444484406
21,10,583,prog_L6H15,0.7033950896079034
21,11,662,prog_L8H29,0.6006694698709143
21,12,397,prog_L20H20,0.6859075936411763
21,13,397,prog_L20H20,0.6757358398855627
21,14,386,prog_L20H10,0.6977813816411478
21,15,277,prog_L17H28,0.6590593345255338
21,16,600,prog_L6H30,0.55632744998025
21,17,199,prog_L15H15,0.7228934699026166
21,18,199,prog_L15H15,0.6915658568591532
21,19,50,prog_L10H25,0.7176319931100461
21,20,542,prog_L4H8,0.6615419273957807
21,21,32,prog_L10H0,0.7718510852434524
21,22,525,prog_L4H20,0.5429714558436229
21,23,235,prog_L16H19,0.8683566321103419
21,24,489,prog_L3H17,0.6947058269343783
21,25,396,prog_L20H2,0.9046055916958912
21,26,389,prog_L20H13,0.5516097198976974
21,27,234,prog_L16H18,0.6245890757940321
21,28,339,prog_L19H26,0.5581421552667976
21,29,396,prog_L20H2,0.8453141408240643
21,30,542,prog_L4H8,0.5546122782143605
21,31,514,prog_L4H10,0.5975005430745782
