layer,head,program_idx,best_program,best_iou
23,13,509,prog_L3H13,0.8773956010100236
23,14,635,prog_L8H19,0.6588440825563013
23,15,584,prog_L6H16,0.7403212688752004
23,16,263,prog_L19H9,0.7495209106209627
23,17,584,prog_L6H16,0.6914330429307717
23,18,509,prog_L3H13,0.8982152378390971
23,19,174,prog_L16H14,0.9435256314833816
23,20,125,prog_L14H13,0.7428068105915445
23,21,427,prog_L25H5,0.7990925952841108
23,22,509,prog_L3H13,0.939420720289342
23,23,548,prog_L4H6,0.7313544260902309
24,0,248,prog_L19H16,0.9117705813463074
24,1,655,prog_L9H15,0.8509575804696017
24,2,427,prog_L25H5,0.7874681403374074
24,3,174,prog_L16H14,0.9529489768966092
24,4,250,prog_L19H18,0.9653723760562622
24,5,174,prog_L16H14,0.9410194413909128
24,6,635,prog_L8H19,0.6783151428962981
24,7,383,prog_L23H9,0.7393351740841293
24,8,323,prog_L21H19,0.6712914001686914
24,9,246,prog_L19H14,0.689388125224987
24,10,423,prog_L25H22,0.6692487450875227
24,11,361,prog_L23H1,0.6664305527841805
24,12,584,prog_L6H16,0.7228252677306919
24,13,509,prog_L3H13,0.9290434633167264
24,14,250,prog_L19H18,0.9394481881670944
24,15,174,prog_L16H14,0.9432436760486128
24,16,427,prog_L25H5,0.7463302899727742
24,17,174,prog_L16H14,0.9583803816525818
24,18,509,prog_L3H13,0.9343114944693728
24,19,509,prog_L3H13,0.9454305351305836
24,20,250,prog_L19H18,0.952194362831016
24,21,655,prog_L9H15,0.8264564693691204
24,22,655,prog_L9H15,0.8629779763200206
24,23,655,prog_L9H15,0.8520591470791041
25,0,509,prog_L3H13,0.8801914846404566
25,1,618,prog_L7H4,0.9234724689662804
25,2,250,prog_L19H18,0.9054832332284928
25,3,174,prog_L16H14,0.93093186541479
25,4,618,prog_L7H4,0.9197704681398784
25,5,618,prog_L7H4,0.9092225294022592
25,6,584,prog_L6H16,0.7534614630411636
25,7,55,prog_L11H15,0.6877538759319212
25,8,548,prog_L4H6,0.7719911792553622
25,9,509,prog_L3H13,0.9257272923021505
25,10,509,prog_L3H13,0.9190387850171622
25,11,509,prog_L3H13,0.930643162871902
25,12,246,prog_L19H14,0.9337978148814188
25,13,248,prog_L19H16,0.9102932878184568
25,14,618,prog_L7H4,0.9293552973600182
25,15,250,prog_L19H18,0.9582206764100936
25,16,174,prog_L16H14,0.918288271218624
25,17,618,prog_L7H4,0.9282633802858438
25,18,496,prog_L2H23,0.8259105793461629
25,19,397,prog_L24H20,0.8298707647493326
25,20,596,prog_L6H6,0.7958354729158297
25,21,436,prog_L26H12,0.5927756712800875
25,22,509,prog_L3H13,0.9204100380684048
25,23,635,prog_L8H19,0.698815426044737
26,0,152,prog_L15H16,0.7507751806484244
26,1,584,prog_L6H16,0.7408743871617853
26,2,588,prog_L6H2,0.7386036008182325
26,3,655,prog_L9H15,0.8354942115040147
26,4,655,prog_L9H15,0.8822454886549125
26,5,509,prog_L3H13,0.9411184478340152
26,6,427,prog_L25H5,0.8306749337458749
26,7,635,prog_L8H19,0.6884750165309683
26,8,248,prog_L19H16,0.9309536936893849
26,9,248,prog_L19H16,0.9333200846343443
26,10,248,prog_L19H16,0.9113771559169428
26,11,618,prog_L7H4,0.9405821106944122
26,12,413,prog_L25H13,0.5323566492201739
26,13,625,prog_L8H1,0.5346815751104822
26,14,625,prog_L8H1,0.6030680204988188
26,15,248,prog_L19H16,0.9184510169623132
26,16,248,prog_L19H16,0.9034386922407724
26,17,170,prog_L16H10,0.7894419188997215
26,18,42,prog_L10H4,0.7042511554283827
26,19,186,prog_L16H4,0.7173703036531525
26,20,152,prog_L15H16,0.7182330876484478
26,21,174,prog_L16H14,0.9374768225352174
26,22,174,prog_L16H14,0.9424659934055784
26,23,296,prog_L20H16,0.7665555619011399
27,0,479,prog_L27H9,0.6715598505130573
27,1,655,prog_L9H15,0.8804207277197837
27,2,267,prog_L1H11,0.7723606442000692
27,3,548,prog_L4H6,0.8559867470654188
27,4,445,prog_L26H20,0.6882016459195531
27,5,625,prog_L8H1,0.5872615433416116
27,6,254,prog_L19H21,0.7362206623560369
27,7,445,prog_L26H20,0.7927042741460959
27,8,548,prog_L4H6,0.8538399820526266
27,9,521,prog_L3H3,0.6286858069563868
27,10,540,prog_L4H2,0.8448008872317612
27,11,339,prog_L22H11,0.8191982799919616
27,12,250,prog_L19H18,0.9083318061631348
27,13,248,prog_L19H16,0.8089175812676517
27,14,246,prog_L19H14,0.8145676027842852
27,15,248,prog_L19H16,0.9358469702206044
27,16,248,prog_L19H16,0.9216426261631095
27,17,296,prog_L20H16,0.7672772501534588
27,18,445,prog_L26H20,0.7005111309044798
27,19,549,prog_L4H7,0.6846811727093677
27,20,16,prog_L0H23,0.7168190393455367
27,21,625,prog_L8H1,0.6526947685085365
27,22,427,prog_L25H5,0.8111658291807533
27,23,548,prog_L4H6,0.7765679205825812
