layer,head,k,iou_score,program_idxs_used
0,10,3,0.429,62|9|47
0,10,4,0.451,62|9|47|1
0,10,5,0.452,62|9|47|1|6
0,10,6,0.491,62|9|47|1|6|21
0,10,7,0.739,62|9|47|1|6|21|69
0,10,8,0.738,62|9|47|1|6|21|69|42
0,10,9,0.74,62|9|47|1|6|21|69|42|0
0,10,10,0.74,62|9|47|1|6|21|69|42|0|41
0,10,11,0.74,62|9|47|1|6|21|69|42|0|41|17
0,10,12,0.753,62|9|47|1|6|21|69|42|0|41|17|49
0,10,13,0.753,62|9|47|1|6|21|69|42|0|41|17|49|5
0,10,14,0.763,62|9|47|1|6|21|69|42|0|41|17|49|5|33
0,10,15,0.763,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68
0,10,16,0.763,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68|52
0,10,17,0.763,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68|52|43
0,10,18,0.766,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68|52|43|37
0,10,19,0.766,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68|52|43|37|50
0,10,20,0.766,62|9|47|1|6|21|69|42|0|41|17|49|5|33|68|52|43|37|50|56
0,11,1,0.363,62
0,11,2,0.375,62|9
0,11,3,0.378,62|9|47
0,11,4,0.413,62|9|47|1
0,11,5,0.419,62|9|47|1|6
0,11,6,0.458,62|9|47|1|6|21
0,11,7,0.751,62|9|47|1|6|21|69
0,11,8,0.748,62|9|47|1|6|21|69|42
0,11,9,0.749,62|9|47|1|6|21|69|42|0
0,11,10,0.749,62|9|47|1|6|21|69|42|0|41
0,11,11,0.749,62|9|47|1|6|21|69|42|0|41|49
0,11,12,0.749,62|9|47|1|6|21|69|42|0|41|49|5
0,11,13,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33
0,11,14,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17
0,11,15,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68
0,11,16,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68|52
0,11,17,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68|52|55
0,11,18,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68|52|55|59
0,11,19,0.752,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68|52|55|59|23
0,11,20,0.753,62|9|47|1|6|21|69|42|0|41|49|5|33|17|68|52|55|59|23|64
1,0,1,0.198,62
1,0,2,0.203,62|9
1,0,3,0.216,62|9|44
1,0,4,0.243,62|9|44|47
1,0,5,0.244,62|9|44|47|6
1,0,6,0.263,62|9|44|47|6|1
1,0,7,0.299,62|9|44|47|6|1|21
1,0,8,0.299,62|9|44|47|6|1|21|0
1,0,9,0.335,62|9|44|47|6|1|21|0|33
1,0,10,0.335,62|9|44|47|6|1|21|0|33|5
1,0,11,0.448,62|9|44|47|6|1|21|0|33|5|69
1,0,12,0.447,62|9|44|47|6|1|21|0|33|5|69|42
1,0,13,0.447,62|9|44|47|6|1|21|0|33|5|69|42|41
1,0,14,0.447,62|9|44|47|6|1|21|0|33|5|69|42|41|17
1,0,15,0.447,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68
1,0,16,0.449,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68|49
1,0,17,0.448,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68|49|52
1,0,18,0.448,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68|49|52|55
1,0,19,0.448,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68|49|52|55|56
1,0,20,0.448,62|9|44|47|6|1|21|0|33|5|69|42|41|17|68|49|52|55|56|23
