layer,head,k,iou_score,program_idxs_used
1,5,3,0.436,49|6|1
1,5,4,0.436,49|6|1|21
1,5,5,0.436,49|6|1|21|47
1,5,6,0.436,49|6|1|21|47|42
1,5,7,0.436,49|6|1|21|47|42|69
1,5,8,0.436,49|6|1|21|47|42|69|0
1,5,9,0.435,49|6|1|21|47|42|69|0|41
1,5,10,0.435,49|6|1|21|47|42|69|0|41|5
1,5,11,0.472,49|6|1|21|47|42|69|0|41|5|59
1,5,12,0.501,49|6|1|21|47|42|69|0|41|5|59|52
1,5,13,0.501,49|6|1|21|47|42|69|0|41|5|59|52|33
1,5,14,0.505,49|6|1|21|47|42|69|0|41|5|59|52|33|68
1,5,15,0.51,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14
1,5,16,0.511,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14|55
1,5,17,0.518,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14|55|23
1,5,18,0.521,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14|55|23|64
1,5,19,0.521,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14|55|23|64|27
1,5,20,0.521,49|6|1|21|47|42|69|0|41|5|59|52|33|68|14|55|23|64|27|30
1,6,1,0.649,55
1,6,2,0.669,55|23
1,6,3,0.671,55|23|30
1,6,4,0.671,55|23|30|27
1,6,5,0.671,55|23|30|27|64
1,6,6,0.671,55|23|30|27|64|36
1,6,7,0.671,55|23|30|27|64|36|2
1,6,8,0.671,55|23|30|27|64|36|2|32
1,6,9,0.671,55|23|30|27|64|36|2|32|58
1,6,10,0.671,55|23|30|27|64|36|2|32|58|28
1,6,11,0.671,55|23|30|27|64|36|2|32|58|28|18
1,6,12,0.671,55|23|30|27|64|36|2|32|58|28|18|24
1,6,13,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56
1,6,14,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61
1,6,15,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53
1,6,16,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53|25
1,6,17,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53|25|54
1,6,18,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53|25|54|22
1,6,19,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53|25|54|22|20
1,6,20,0.672,55|23|30|27|64|36|2|32|58|28|18|24|56|61|53|25|54|22|20|31
1,7,1,0.435,1
1,7,2,0.435,1|6
1,7,3,0.435,1|6|21
1,7,4,0.435,1|6|21|47
1,7,5,0.472,1|6|21|47|49
1,7,6,0.473,1|6|21|47|49|0
1,7,7,0.473,1|6|21|47|49|0|42
1,7,8,0.473,1|6|21|47|49|0|42|69
1,7,9,0.482,1|6|21|47|49|0|42|69|41
1,7,10,0.483,1|6|21|47|49|0|42|69|41|5
1,7,11,0.484,1|6|21|47|49|0|42|69|41|5|9
1,7,12,0.483,1|6|21|47|49|0|42|69|41|5|9|70
1,7,13,0.483,1|6|21|47|49|0|42|69|41|5|9|70|62
